,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
5421,2020-05-29,Hitpoint Masters,Hitpoint Masters Season 14 Open Qualifier 1,Hitpoint Masters Season 14 Open Qualifier 1,,,1
5422,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Algeria Split 1,Intel Arabian Cup 2020 Algeria Split 1,,,1
5423,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Bahrain Split 1,Intel Arabian Cup 2020 Bahrain Split 1,,,1
5424,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Egypt Split 1,Intel Arabian Cup 2020 Egypt Split 1,,,1
5425,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Iraq Split 1,Intel Arabian Cup 2020 Iraq Split 1,,,1
5426,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Jordan Split 1,Intel Arabian Cup 2020 Jordan Split 1,,,1
5427,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Kuwait League,Intel Arabian Cup 2020 Kuwait League,,,1
5428,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Lebanon Split 1,Intel Arabian Cup 2020 Lebanon Split 1,,,1
5429,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Morocco Split 1,Intel Arabian Cup 2020 Morocco Split 1,,,1
5430,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Morocco Split 1,Intel Arabian Cup 2020 Morocco Split 1,,,1
5431,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Oman Split 1,Intel Arabian Cup 2020 Oman Split 1,,,1
5432,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Qatar Split 1,Intel Arabian Cup 2020 Qatar Split 1,,,1
5433,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Saudi Arabia Split 1,Intel Arabian Cup 2020 Saudi Arabia Split 1,,,1
5434,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 Tunisia Split 1,Intel Arabian Cup 2020 Tunisia Split 1,,,1
5435,2020-05-29,Intel Arabian Cup,Intel Arabian Cup 2020 United Arab Emirates Split 1,Intel Arabian Cup 2020 United Arab Emirates Split 1,,,1
5436,2020-05-29,Riot Games,Mid-Season Streamathon 2020,Mid-Season Streamathon 2020,,,1
5437,2020-05-29,Riot Games,Mid-Season Streamathon 2020 Kickoff,,,,1
5438,2020-05-30,A1 Gaming League,A1 Gaming League 2020 Qualifier 4,,,,1
