,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
108,ASP Esports,HeeDeN,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,7,1,"Bot,Mid",1
109,ASP Esports,Heztek,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,1,1,"Top,Support",1
110,ASP Esports,Imbi,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,5,1,Bot,1
111,ASP Esports,Infinity (Christian Jose),LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,3,1,Jungle,1
112,ASP Esports,Kuzmä,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,2,1,Top,1
113,ASP Esports,Mafra,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,8,1,Support,1
114,ASP Esports,Merittan,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,9,1,Support,1
115,ASP Esports,Muka,LPLOL/2018 Season/Open Split,LPLOL/2018 Season/Open Split_ASP Esports,1,1,Top,1
116,ASP Esports,Muka,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,1,1,Top,1
117,ASP Esports,Nero (Portuguese Player),LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,9,1,Coach,1
118,ASP Esports,Nuance,LPLOL/2018 Season/Open Split,LPLOL/2018 Season/Open Split_ASP Esports,4,1,Bot,1
119,ASP Esports,Papacelo,LPLOL/2019 Season/2nd Division/Summer Split,LPLOL/2019 Season/2nd Division/Summer Split_ASP Esports,6,1,"Bot,Support",1
120,ASP Esports,Prtt,LPLOL/2018 Season/Open Split,LPLOL/2018 Season/Open Split_ASP Esports,2,1,Jungle,1
121,ASP Esports,prtt,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,2,1,Jungle,1
122,ASP Esports,Raki (Rogério Santana),LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,4,1,Mid,1
123,ASP Esports,Rev3nge,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,6,1,Bot,1
124,ASP Esports,ShatterStefi,LPLOL/2019 Season/Spring Split,LPLOL/2019 Season/Spring Split_ASP Esports,7,1,Support,1
